id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified
993499844139536385,https://twitter.com/BlackTerp/status/993499844139536385,Mon May 07 14:36:35 +0000 2018,2018-05-07 14:36:35+00:00,BlackTerp,RT @brentfaiyaz: Slavery is not over. It was rewritten.,retweet,,,,,0,,,,en,,,1516,993245617928355841,brentfaiyaz,367355195,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
993499789714214912,https://twitter.com/BlackTerp/status/993499789714214912,Mon May 07 14:36:22 +0000 2018,2018-05-07 14:36:22+00:00,BlackTerp,RT @__TheOutsider: Since I’ve already got started on my Freedom School speal let me just go ahead and post some of my favorite freedom scho…,retweet,,,,,0,,,,en,,,8,993337364557848576,__TheOutsider,269043086,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
993498713950687233,https://twitter.com/BlackTerp/status/993498713950687233,Mon May 07 14:32:06 +0000 2018,2018-05-07 14:32:06+00:00,BlackTerp,RT @DoBetterUMD: An an alarming amount of young girls/women in Kenya are faced with the concern of not being able to go to school due to ba…,retweet,,,,,0,,,,en,,,18,992404381189492739,DoBetterUMD,2629124891,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
993498690093494272,https://twitter.com/BlackTerp/status/993498690093494272,Mon May 07 14:32:00 +0000 2018,2018-05-07 14:32:00+00:00,BlackTerp,RT @DoBetterUMD: There’s so much more work to be done... there’s always work to be done. But starting and remaining consistent is key ✍🏾 #D…,retweet,,,,,0,,,,en,,,13,992401400314368000,DoBetterUMD,2629124891,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
993430443507830784,https://twitter.com/BlackTerp/status/993430443507830784,Mon May 07 10:00:49 +0000 2018,2018-05-07 10:00:49+00:00,BlackTerp,RT @UMDCSA: #J6 J’ouvert 2018 🎨 https://t.co/2KMMjQ56fX,retweet,,J6,https://twitter.com/UMDCSA/status/993329901821480961/video/1,,0,,,,fr,,False,50,993329901821480961,UMDCSA,172039329,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
991575091388534785,https://twitter.com/BlackTerp/status/991575091388534785,Wed May 02 07:08:19 +0000 2018,2018-05-02 07:08:19+00:00,BlackTerp,RT @TamaraLanese: Graduation is that you? Almost there... #20DAYS #UMDGRAD 💃🏾 https://t.co/jB5oWOPuqV,retweet,,20DAYS UMDGRAD,https://twitter.com/TamaraLanese/status/991084598057750533/photo/1 https://twitter.com/TamaraLanese/status/991084598057750533/photo/1,,0,,,,en,,False,25,991084598057750533,TamaraLanese,190080346,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
991575041107111936,https://twitter.com/BlackTerp/status/991575041107111936,Wed May 02 07:08:07 +0000 2018,2018-05-02 07:08:07+00:00,BlackTerp,RT @StruttersUMD: Block✨Show✨mood: https://t.co/U0IELNSAeO,retweet,,,https://twitter.com/StruttersUMD/status/991128899009564672/photo/1,,0,,,,en,,False,17,991128899009564672,StruttersUMD,965276842583347200,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
991575021628870656,https://twitter.com/BlackTerp/status/991575021628870656,Wed May 02 07:08:02 +0000 2018,2018-05-02 07:08:02+00:00,BlackTerp,RT @RAMSEY_whodat: @BlackTerp @UMDCSA @SEE_UMD Come support @DrRobertChiles and my history class as we host the 2nd annual food festival ht…,retweet,,,,,0,,,,en,,,1,991501753639165952,RAMSEY_whodat,317419763,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
991574758285340672,https://twitter.com/BlackTerp/status/991574758285340672,Wed May 02 07:06:59 +0000 2018,2018-05-02 07:06:59+00:00,BlackTerp,"RT @UMDSigmas: EPsi still winning! On Friday, May 4th, our very own @WallzBaba will be performing at UMD’s annual Art Attack and opening fo…",retweet,,,,,0,,,,en,,,26,991043774695567361,UMDSigmas,153085878,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
991119391071883264,https://twitter.com/BlackTerp/status/991119391071883264,Tue May 01 00:57:31 +0000 2018,2018-05-01 00:57:31+00:00,BlackTerp,Anddddd it’s a wrap!! See y’all on 5/5/18 at 12pm for @TheRealNPHC Block Show! 🤝 Thank you so much to all who came out to BSU Elections today and all of our lovely candidates! Results will be announced this Saturday! https://t.co/054d2RTU5V,original,,,https://twitter.com/BlackTerp/status/991119391071883264/photo/1,,7,,,,en,,False,6,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
